  T        pwa93       esc96       nijm1       nijm2       nijm93  
169.000    13.74137    11.31567    13.08033    12.75593    12.25951
170.000    13.57910    11.13941    12.91629    12.59094    12.08417
171.000    13.41739    10.96378    12.75289    12.42660    11.90940
172.000    13.25623    10.78876    12.59013    12.26290    11.73520
173.000    13.09561    10.61436    12.42801    12.09983    11.56155
174.000    12.93553    10.44057    12.26651    11.93740    11.38846
175.000    12.77598    10.26738    12.10564    11.77560    11.21591
176.000    12.61695    10.09480    11.94539    11.61441    11.04391
177.000    12.45843     9.92280    11.78575    11.45384    10.87244
178.000    12.30043     9.75140    11.62672    11.29388    10.70151
179.000    12.14294     9.58057    11.46828    11.13452    10.53111
180.000    11.98594     9.41033    11.31045    10.97576    10.36123
181.000    11.82944     9.24065    11.15320    10.81759    10.19187
182.000    11.67343     9.07155    10.99654    10.66001    10.02302
183.000    11.51790     8.90301    10.84046    10.50301     9.85468
184.000    11.36285     8.73502    10.68495    10.34659     9.68685
185.000    11.20827     8.56759    10.53002    10.19074     9.51952
186.000    11.05415     8.40071    10.37565    10.03546     9.35268
187.000    10.90050     8.23437    10.22183     9.88074     9.18634
188.000    10.74731     8.06857    10.06858     9.72658     9.02048
189.000    10.59456     7.90330     9.91587     9.57298     8.85511
190.000    10.44226     7.73857     9.76371     9.41992     8.69022
191.000    10.29040     7.57436     9.61209     9.26741     8.52580
192.000    10.13898     7.41067     9.46101     9.11543     8.36185
193.000     9.98799     7.24750     9.31045     8.96399     8.19837
194.000     9.83742     7.08484     9.16043     8.81308     8.03536
195.000     9.68728     6.92269     9.01093     8.66270     7.87280
196.000     9.53755     6.76105     8.86195     8.51284     7.71070
197.000     9.38823     6.59990     8.71348     8.36350     7.54905
198.000     9.23932     6.43926     8.56552     8.21467     7.38785
199.000     9.09082     6.27910     8.41806     8.06636     7.22710
200.000     8.94271     6.11943     8.27111     7.91854     7.06679
201.000     8.79499     5.96025     8.12466     7.77123     6.90691
202.000     8.64767     5.80155     7.97870     7.62442     6.74747
203.000     8.50073     5.64333     7.83323     7.47810     6.58846
204.000     8.35417     5.48558     7.68824     7.33227     6.42988
205.000     8.20799     5.32829     7.54374     7.18692     6.27172
206.000     8.06218     5.17148     7.39971     7.04206     6.11399
207.000     7.91674     5.01513     7.25616     6.89767     5.95667
208.000     7.77166     4.85924     7.11308     6.75376     5.79977
209.000     7.62694     4.70380     6.97047     6.61033     5.64328
210.000     7.48258     4.54881     6.82831     6.46736     5.48719
211.000     7.33857     4.39428     6.68662     6.32485     5.33152
212.000     7.19490     4.24018     6.54539     6.18280     5.17624
213.000     7.05158     4.08653     6.40460     6.04121     5.02136
214.000     6.90861     3.93332     6.26427     5.90008     4.86688
215.000     6.76596     3.78055     6.12438     5.75939     4.71280
216.000     6.62366     3.62820     5.98493     5.61916     4.55910
217.000     6.48168     3.47629     5.84592     5.47936     4.40580
218.000     6.34002     3.32480     5.70734     5.34001     4.25288
219.000     6.19869     3.17373     5.56920     5.20109     4.10034
220.000     6.05768     3.02309     5.43149     5.06261     3.94818
221.000     5.91698     2.87286     5.29420     4.92456     3.79640
222.000     5.77659     2.72304     5.15734     4.78693     3.64499
